position,time_ms
0,190
1,164.35
2,146.752
3,160.605
4,162.479
5,160.957
6,160.589
7,141.835
8,161.97
9,161.178
10,161
11,161.028
12,161.387
13,160.402
14,161.217
15,160.57
16,163.683
17,160.646
18,160.675
19,160.782
20,160.185
21,160.539
22,160.378
23,160.22
24,160.114
25,160.194
26,160.063
27,160.018
28,160.153
29,160.151
30,159.83
31,160.124
32,162.431
33,160.459
34,160.34
35,160.281
36,160.244
37,160.107
38,160.382
39,160.248
40,160.452
41,160.33
42,160.44
43,160.229
44,160.192
45,160.018
46,160.143
47,160.189
48,160.006
49,167.201
50,160.236
51,159.953
52,160.254
53,160.113
54,160.019
55,160.004
56,160.133
57,159.895
58,160.18
59,160.283
60,160.142
61,160.259
62,160.434
63,128.395
64,160.087
65,160.201
66,160.119
67,160.175
68,160.017
69,160.183
70,160.285
71,159.969
72,160.297
73,159.965
74,159.999
75,160.424
76,159.967
77,160.162
78,160.186
79,160.26
80,160.372
81,160.139
82,160.6
83,160.28
84,160.126
85,160.294
86,160.229
87,160.042
88,160.206
89,160.082
90,160.29
91,160.174
92,160.087
93,159.84
94,162.869
95,159.97
96,159.86
97,111.648
98,164.035
99,160.018
100,160.101
101,160.278
102,160.033
103,160.165
104,160.171
105,160.013
106,160.198
107,160.124
108,160.3
109,160.297
110,160.342
111,160.185
112,206.45
113,206.402
114,206.059
115,206.147
116,205.851
117,206.172
118,205.967
119,205.912
120,206.546
121,206.234
122,208.199
123,206.753
124,206.275
125,206.192
126,205.739
127,205.758
128,206.812
129,205.689
130,209.069
131,206.294
132,206.378
133,205.696
134,208.268
135,236.382
136,229.779
137,231.069
138,230.283
139,231.791
140,229.858
141,210.42
142,206.769
143,206.085
144,209.265
145,206.493
146,209.423
147,205.66
148,206.366
149,208.33
150,205.614
151,205.777
152,206.048
153,205.733
154,205.419
155,206.572
156,205.049
157,205.608
158,205.884
159,205.859
160,206.019
161,206.003
162,205.564
163,206.145
164,204.948
165,206.242
166,206.003
167,205.459
168,206.173
169,205.866
170,208.367
171,206.711
172,205.456
173,205.994
174,205.317
175,205.906
176,159.919
177,159.938
178,159.905
179,160.087
180,159.829
181,160.089
182,159.92
183,160.071
184,160.12
185,160.27
186,165.994
187,160.343
188,160.19
189,160.148
190,160.025
191,159.888
192,160.044
193,160.108
194,160.135
195,160.023
196,159.979
197,160.058
198,160.112
199,159.942
200,141.562
201,159.986
202,159.801
203,160.195
204,159.992
205,160.071
206,159.85
207,159.885
208,160.065
209,160.109
210,159.926
211,160.028
212,160.046
213,160.006
214,160.019
215,160.476
216,160.009
217,160.026
218,160.217
219,159.954
220,160.011
221,159.95
222,160.081
223,159.851
224,159.997
225,160.143
226,160.106
227,159.959
228,160.088
229,159.81
230,160.056
231,132.344
232,160.035
233,160.037
234,160.022
235,159.985
236,160.284
237,160.072
238,160.071
239,160.103
240,160.16
241,160.005
242,159.901
243,160.009
244,160.18
245,147.101
246,128.055
247,160.002
248,160.103
249,160.217
250,160.814
251,160.232
252,160.195
253,176.801
254,159.78
255,150.755
