position,time_ms
0,189.204
1,138.816
2,160.476
3,162.454
4,160.808
5,160.321
6,160.721
7,161.004
8,161.278
9,160.787
10,161.043
11,160.796
12,160.145
13,160.682
14,160.987
15,160.526
16,160.542
17,160.108
18,159.879
19,160.084
20,160.033
21,92.796
22,161.076
23,160.465
24,160.004
25,160.262
26,159.96
27,160.286
28,159.872
29,160.04
30,160.007
31,160.044
32,160.117
33,158.837
34,160.075
35,160.164
36,159.926
37,159.968
38,160.042
39,160.202
40,160.055
41,160.049
42,160.022
43,159.969
44,160.064
45,160.163
46,160.007
47,159.847
48,160.104
49,159.938
50,159.922
51,160.135
52,159.946
53,160.339
54,160.348
55,160.191
56,159.956
57,168.582
58,160.048
59,160.005
60,159.993
61,159.98
62,160.373
63,160.286
64,114.15
65,161.25
66,160.035
67,159.976
68,159.958
69,160.007
70,160.067
71,159.985
72,159.803
73,160.211
74,159.988
75,160.121
76,159.989
77,160.042
78,160.088
79,159.949
80,160.13
81,160.182
82,160.116
83,160.141
84,159.955
85,160.096
86,159.919
87,159.887
88,160.045
89,159.928
90,160.143
91,160.129
92,160.23
93,159.895
94,160.177
95,160.286
96,92.325
97,159.931
98,159.832
99,160.001
100,159.922
101,160.146
102,160.072
103,160.021
104,160.058
105,160.105
106,159.954
107,159.987
108,160.112
109,160.054
110,160.122
111,160.138
112,206.091
113,206.422
114,208.341
115,206.513
116,205.852
117,206.277
118,206.981
119,206.041
120,206.27
121,205.424
122,205.853
123,205.855
124,208.369
125,206.168
126,205.804
127,206.589
128,206.894
129,206.471
130,205.6
131,206.309
132,207.195
133,206.605
134,205.978
135,206.547
136,206.562
137,208.379
138,205.729
139,205.582
140,206.458
141,207.053
142,205.707
143,206.454
144,206.874
145,206.192
146,205.565
147,206.623
148,208.451
149,205.759
150,205.882
151,205.852
152,212.496
153,207.565
154,206.121
155,205.285
156,205.457
157,206.963
158,205.446
159,206.117
160,207.525
161,206.828
162,206.32
163,206.355
164,205.913
165,205.731
166,205.74
167,206.325
168,205.521
169,205.76
170,206.327
171,207.38
172,208.805
173,205.611
174,206.769
175,205.855
176,160.041
177,160.034
178,159.986
179,160.174
180,159.907
181,160.037
182,160.056
183,160.069
184,160.151
185,159.87
186,159.927
187,159.947
188,159.909
189,160.083
190,160.305
191,160.284
192,160.259
193,160.078
194,160.08
195,159.957
196,160.142
197,160.026
198,160.023
199,159.926
200,160.071
201,160.078
202,160.384
203,148.52
204,160.075
205,159.965
206,160.002
207,159.948
208,160.203
209,160
210,160.129
211,160.066
212,159.76
213,160.189
214,159.909
215,160.053
216,159.89
217,159.878
218,160.115
219,159.873
220,160.174
221,159.995
222,160.134
223,160.22
224,160.171
225,160.043
226,160.035
227,160.016
228,160.287
229,159.963
230,159.879
231,160.342
232,160.088
233,161.357
234,115.043
235,160.11
236,161.543
237,165.477
238,160.08
239,130.142
240,160.077
241,159.956
242,160.247
243,159.916
244,102.292
245,164.056
246,160.445
247,160.138
248,160.228
249,160.094
250,160.059
251,159.952
252,160.344
253,160.058
254,159.99
255,160.045
