position,time_ms,distance
0,83.9819,-128
1,82.9741,-127
2,88.9171,-126
3,83.8943,-125
4,82.8012,-124
5,81.122,-123
6,80.7923,-122
7,79.9787,-121
8,80.2045,-120
9,79.5052,-119
10,79.6272,-118
11,79.8948,-117
12,79.7274,-116
13,79.8453,-115
14,79.6118,-114
15,79.4696,-113
16,79.8529,-112
17,79.8503,-111
18,79.9035,-110
19,79.5977,-109
20,79.5021,-108
21,79.5518,-107
22,79.5037,-106
23,79.5021,-105
24,80.2832,-104
25,79.6137,-103
26,79.5524,-102
27,79.7711,-101
28,80.0097,-100
29,79.7575,-99
30,80.8783,-98
31,80.4171,-97
32,75.7443,-96
33,66.5625,-95
34,80.8971,-94
35,80.9655,-93
36,81.393,-92
37,80.3339,-91
38,80.0924,-90
39,81.1582,-89
40,82.6024,-88
41,81.1419,-87
42,79.8771,-86
43,80.9478,-85
44,82.5566,-84
45,80.7856,-83
46,80.5657,-82
47,80.4976,-81
48,80.418,-80
49,83.5547,-79
50,80.5029,-78
51,80.4698,-77
52,80.5619,-76
53,80.693,-75
54,80.1033,-74
55,80.1409,-73
56,80.0213,-72
57,79.926,-71
58,79.7777,-70
59,79.5952,-69
60,79.9727,-68
61,79.7166,-67
62,79.6755,-66
63,79.5152,-65
64,79.6694,-64
65,79.5305,-63
66,79.8107,-62
67,79.5218,-61
68,79.7472,-60
69,79.5505,-59
70,80.079,-58
71,80.8919,-57
72,81.9008,-56
73,80.4659,-55
74,81.5908,-54
75,83.5565,-53
76,83.7941,-52
77,83.2009,-51
78,83.9691,-50
79,81.945,-49
80,83.1848,-48
81,83.1063,-47
82,80.2585,-46
83,79.852,-45
84,79.793,-44
85,80.1622,-43
86,79.9043,-42
87,79.7478,-41
88,80.2026,-40
89,83.2894,-39
90,92.0562,-38
91,81.1317,-37
92,79.9844,-36
93,80.4004,-35
94,82.314,-34
95,83.9308,-33
96,81.0207,-32
97,79.9348,-31
98,81.333,-30
99,83.9069,-29
100,84.6668,-28
101,83.4594,-27
102,82.2455,-26
103,81.0062,-25
104,84.1555,-24
105,85.0537,-23
106,84.1834,-22
107,83.6663,-21
108,82.9073,-20
109,83.0733,-19
110,81.5757,-18
111,82.0246,-17
112,84.2588,-16
113,80.2597,-15
114,83.1687,-14
115,83.8167,-13
116,84.4099,-12
117,83.0058,-11
118,81.2843,-10
119,80.3305,-9
120,79.8192,-8
121,80.1699,-7
122,80.0429,-6
123,79.7205,-5
124,79.7947,-4
125,79.7648,-3
126,79.6077,-2
127,79.8985,-1
128,103.493,0
129,103.097,1
130,102.224,2
131,101.317,3
132,105.565,4
133,117.987,5
134,105.86,6
135,103.341,7
136,102.782,8
137,104.842,9
138,106.473,10
139,104.144,11
140,104.015,12
141,104.682,13
142,106.413,14
143,105.75,15
144,103.694,16
145,105.212,17
146,104.18,18
147,104.91,19
148,104.742,20
149,105.947,21
150,105.326,22
151,103.888,23
152,103.59,24
153,104.421,25
154,103.743,26
155,103.678,27
156,103.087,28
157,102.954,29
158,101.771,30
159,104.785,31
160,105.832,32
161,108.233,33
162,103.753,34
163,102.11,35
164,102.266,36
165,102.273,37
166,102.357,38
167,101.933,39
168,101.814,40
169,102.845,41
170,102.163,42
171,101.384,43
172,107.437,44
173,102.696,45
174,107.91,46
175,101.944,47
176,101.177,48
177,103.082,49
178,102.037,50
179,103.093,51
180,101.798,52
181,102.252,53
182,101.233,54
183,102.874,55
184,107.898,56
185,107.849,57
186,101.834,58
187,102.227,59
188,100.955,60
189,102.117,61
190,102.341,62
191,102.433,63
192,81.3714,64
193,79.5488,65
194,81.3329,66
195,79.4833,67
196,79.8478,68
197,79.946,69
198,79.6675,70
199,79.769,71
200,79.4972,72
201,80.7793,73
202,80.5039,74
203,80.584,75
204,81.1695,76
205,79.7891,77
206,81.8831,78
207,79.4911,79
208,80.7804,80
209,80.0737,81
210,80.9123,82
211,80.8255,83
212,80.4308,84
213,80.0385,85
214,82.278,86
215,80.8935,87
216,80.5587,88
217,80.4995,89
218,80.594,90
219,80.3971,91
220,80.6208,92
221,80.1806,93
222,80.4055,94
223,80.2788,95
224,80.0554,96
225,80.2064,97
226,81.8648,98
227,80.0603,99
228,80.2959,100
229,79.7156,101
230,81.011,102
231,82.0606,103
232,80.0508,104
233,80.6248,105
234,79.7406,106
235,81.2593,107
236,81.007,108
237,80.5358,109
238,81.7214,110
239,79.6051,111
240,80.339,112
241,80.5073,113
242,80.9921,114
243,82.1682,115
244,80.0734,116
245,80.7553,117
246,80.1857,118
247,79.9144,119
248,80.6217,120
249,81.3475,121
250,80.3344,122
251,82.1333,123
252,79.5863,124
253,80,125
254,80.4808,126
255,80.6407,127
256,84.3543,128
257,80.2445,129
258,80.7452,130
259,80.4074,131
260,80.1244,132
261,80.8607,133
262,82.3579,134
263,79.7682,135
264,81.5168,136
265,80.8932,137
266,80.3617,138
267,81.2967,139
268,80.5428,140
269,81.1084,141
270,80.4296,142
271,81.5431,143
272,81.3572,144
273,81.0371,145
274,80.9044,146
275,81.6737,147
276,83.0772,148
277,79.6909,149
278,80.742,150
279,81.7713,151
280,81.0744,152
281,82.1662,153
282,81.795,154
283,81.874,155
284,81.1088,156
285,80.7067,157
286,82.031,158
287,82.4875,159
288,81.7692,160
289,82.6144,161
290,80.6218,162
291,81.0657,163
292,80.6072,164
293,80.6883,165
294,81.0822,166
295,82.3999,167
296,81.1045,168
297,81.3244,169
298,80.8282,170
299,82.4149,171
300,80.6773,172
301,81.389,173
302,80.828,174
303,80.3248,175
304,81.1732,176
305,80.6578,177
306,81.671,178
307,80.9374,179
308,81.1834,180
309,80.4578,181
310,81.2057,182
311,81.0231,183
312,81.8475,184
313,81.2785,185
314,80.7659,186
315,81.4346,187
316,81.6555,188
317,81.9325,189
318,80.9822,190
319,81.6402,191
320,82.5045,192
321,82.1241,193
322,81.0618,194
323,82.6242,195
324,80.2441,196
325,82.1335,197
326,81.8561,198
327,81.814,199
328,81.1174,200
329,82.6393,201
330,80.1926,202
331,82.3118,203
332,80.6333,204
333,81.4797,205
334,82.6137,206
335,81.3973,207
336,81.9686,208
337,81.0794,209
338,81.6599,210
339,82.8725,211
340,80.4286,212
341,82.275,213
342,81.0267,214
343,82.7032,215
344,80.4002,216
345,81.8993,217
346,82.0725,218
347,80.5815,219
348,81.5024,220
349,81.3776,221
350,82.044,222
351,81.5513,223
352,82.0127,224
353,81.0583,225
354,82.8761,226
355,80.4655,227
356,81.7384,228
357,80.7112,229
358,81.7181,230
359,83.3155,231
360,80.6754,232
361,82.453,233
362,81.1951,234
363,81.8013,235
364,81.6504,236
365,83.0135,237
366,81.2772,238
