entries,cycles_per_access
8,0.951
16,0.904
24,0.866
32,0.809
40,0.787
48,0.765
56,0.764
64,0.710
72,0.710
80,0.703
88,0.703
96,0.702
104,0.703
112,0.703
120,0.703
128,0.703
136,0.703
144,0.750
152,0.748
160,0.746
168,1.122
176,1.429
184,1.765
192,2.060
200,2.060
208,2.060
216,2.060
224,2.060
232,2.060
240,2.060
248,2.060
256,2.060
272,3.660
288,4.582
304,4.864
320,5.148
336,5.236
352,5.320
368,5.397
384,4.620
400,4.669
416,4.751
432,4.841
448,4.949
464,5.021
480,5.231
496,5.854
512,5.876
528,5.901
544,5.309
560,5.354
576,5.401
592,5.453
608,6.321
624,6.382
640,5.596
656,5.604
672,5.642
688,5.679
704,5.752
720,5.835
736,5.888
752,5.908
768,5.923
784,5.944
800,6.691
816,6.732
832,6.769
848,6.798
864,6.777
880,5.982
896,6.029
912,6.049
928,6.043
944,6.083
960,6.110
976,6.945
992,6.957
1008,6.986
1024,6.147
1040,6.162
1056,6.209
1072,6.225
1088,6.234
1104,6.267
1120,7.143
1136,7.132
1152,7.142
1168,6.261
1184,6.287
1200,7.121
1216,7.258
1232,7.229
1248,7.217
1264,7.268
1280,7.293
1296,6.360
1312,6.409
1328,6.422
1344,6.399
1360,6.469
1376,6.487
1392,6.488
1408,6.488
1424,6.519
1440,7.374
1456,7.418
1472,7.419
1488,7.431
1504,6.437
1520,6.488
1536,6.496
1552,6.516
1568,6.528
1584,6.525
1600,6.549
1616,7.465
1632,7.509
1648,7.539
1664,7.550
1680,7.571
1696,7.619
1712,7.443
1728,7.488
1744,6.581
1760,6.611
1776,6.630
1792,6.669
1808,6.691
1824,6.607
1840,6.629
1856,6.596
1872,6.658
1888,6.702
1904,6.716
1920,6.708
1936,6.645
1952,7.571
1968,7.625
1984,7.696
2000,6.690
2016,6.849
2032,6.743
2048,6.697
2064,7.638
2080,7.640
2096,7.651
2112,6.723
2128,6.712
2144,6.723
2160,6.694
2176,6.731
2192,6.751
2208,6.733
2224,6.752
2240,7.699
2256,7.771
2272,7.773
2288,7.785
2304,6.711
2320,6.727
2336,6.758
2352,6.761
2368,6.796
2384,8.610
2400,7.656
2416,7.769
2432,7.741
2448,6.807
2464,6.808
2480,6.807
2496,6.791
2512,6.796
2528,6.818
2544,6.803
2560,6.769
2576,6.783
2592,6.795
2608,6.807
2624,7.806
2640,7.828
2656,7.842
2672,7.850
2688,7.817
2704,7.740
2720,7.762
2736,7.783
2752,7.790
2768,6.925
2784,6.918
2800,6.920
2816,6.926
2832,6.912
2848,6.835
2864,7.832
2880,6.831
2896,6.839
2912,6.848
2928,6.863
2944,6.871
2960,6.873
2976,6.882
2992,7.176
3008,7.429
3024,7.650
3040,7.893
3056,8.167
3072,8.446
3088,8.647
3104,10.188
3120,10.433
3136,10.702
3152,10.989
3168,11.255
3184,11.551
3200,11.768
3216,10.341
3232,10.455
3248,10.642
3264,10.783
3280,10.961
3296,11.132
3312,11.281
3328,13.133
3344,13.317
3360,13.514
3376,13.611
3392,13.810
3408,14.036
3424,12.117
3440,12.264
3456,12.375
3472,12.536
3488,12.598
3504,12.621
3520,12.589
3536,12.546
3552,12.566
3568,12.568
3584,12.592
3600,12.603
3616,12.571
3632,12.586
3648,12.617
3664,14.625
3680,12.582
3696,12.567
3712,12.576
3728,12.567
3744,12.572
3760,14.677
3776,14.673
3792,14.207
3808,12.586
3824,12.569
3840,12.588
3856,14.598
3872,14.638
3888,14.633
3904,12.619
3920,12.613
3936,12.632
3952,12.639
3968,12.873
3984,14.719
4000,12.593
4016,12.595
4032,12.622
4048,12.613
4064,14.581
4080,12.620
4096,12.616
4112,12.618
4128,12.602
4144,12.616
4160,12.827
4176,12.505
4192,12.670
4208,12.646
4224,12.737
4240,14.633
4256,14.620
4272,12.636
4288,12.635
4304,12.656
4320,12.643
4336,12.626
4352,12.658
4368,12.632
4384,12.637
4400,12.677
4416,12.679
4432,14.624
4448,14.633
4464,14.743
4480,14.783
4496,12.626
4512,12.647
4528,12.656
4544,12.649
4560,12.671
4576,12.638
4592,12.661
4608,14.753
4624,12.654
4640,12.641
4656,12.651
4672,12.653
4688,12.687
4704,14.673
4720,14.662
4736,14.684
4752,12.674
4768,12.654
4784,12.638
4800,12.681
4816,12.700
4832,12.660
4848,12.671
4864,14.759
4880,14.647
4896,14.659
4912,12.652
4928,12.651
4944,12.646
4960,12.677
4976,12.683
4992,12.670
5008,12.710
5024,12.664
5040,14.674
5056,14.697
5072,14.790
5088,12.690
5104,12.681
5120,12.672
5136,12.670
5152,12.674
5168,12.676
