N,Forward,Backward,Random
41287680,0.31,0.28,86.11
41811968,0.27,0.28,85.40
42336256,0.25,0.24,86.13
42860544,0.25,0.25,86.57
43384832,0.29,0.29,86.29
43909120,0.27,0.26,88.14
44433408,0.30,0.26,86.34
44957696,0.29,0.28,86.44
45481984,0.30,0.30,87.78
46006272,0.26,0.29,86.59
46530560,0.30,0.30,86.24
47054848,0.27,0.29,87.33
47579136,0.26,0.28,87.06
48103424,0.28,0.28,87.43
48627712,0.29,0.28,87.30
49152000,0.26,0.24,88.59
49676288,0.29,0.30,87.24
50200576,0.28,0.27,88.77
50724864,0.25,0.27,87.62
51249152,0.29,0.27,87.46
51773440,0.28,0.30,85.57
52297728,0.26,0.27,87.50
52822016,0.26,0.30,90.75
53346304,0.25,0.26,88.63
53870592,0.27,0.29,87.89
54394880,0.29,0.33,88.02
54919168,0.28,0.29,88.82
55443456,0.28,0.29,88.18
55967744,0.25,0.28,89.99
56492032,0.29,0.28,89.93
57016320,0.26,0.27,88.30
57540608,0.27,0.31,88.32
58064896,0.27,0.26,90.34
58589184,0.28,0.24,89.56
59113472,0.27,0.26,90.00
59637760,0.27,0.26,89.54
60162048,0.26,0.27,90.13
60686336,0.26,0.25,89.70
61210624,0.26,0.29,90.09
61734912,0.27,0.28,89.94
62259200,0.26,0.27,90.35
62783488,0.28,0.29,89.93
63307776,0.25,0.28,90.50
63832064,0.28,0.28,90.44
64356352,0.25,0.29,90.93
64880640,0.24,0.26,90.47
65404928,0.27,0.28,90.88
65929216,0.25,0.28,91.16
66453504,0.28,0.27,90.52
66977792,0.26,0.28,90.29
67502080,0.25,0.27,91.67
68026368,0.24,0.27,91.11
68550656,0.25,0.28,90.70
69074944,0.25,0.27,91.92
69599232,0.25,0.24,90.08
70123520,0.26,0.24,92.54
70647808,0.26,0.27,91.57
71172096,0.25,0.26,93.61
71696384,0.26,0.28,93.99
72220672,0.25,0.27,93.76
72744960,0.26,0.27,92.69
73269248,0.27,0.25,92.88
73793536,0.27,0.28,97.26
74317824,0.27,0.27,94.31
74842112,0.26,0.27,96.32
75366400,0.28,0.25,94.80
75890688,0.28,0.26,95.48
76414976,0.26,0.26,93.48
76939264,0.28,0.28,94.34
77463552,0.26,0.26,91.97
77987840,0.27,0.27,92.45
78512128,0.27,0.25,92.30
79036416,0.26,0.26,92.15
79560704,0.26,0.26,92.62
80084992,0.24,0.26,92.01
80609280,0.25,0.27,92.02
81133568,0.27,0.28,92.20
81657856,0.26,0.28,92.07
82182144,0.26,0.24,91.45
82706432,0.26,0.25,92.13
83230720,0.26,0.26,92.35
83755008,0.27,0.25,92.64
84279296,0.25,0.25,92.19
84803584,0.25,0.24,92.40
85327872,0.25,0.24,92.39
85852160,0.26,0.24,92.68
86376448,0.25,0.25,92.41
86900736,0.25,0.25,92.57
87425024,0.26,0.26,92.81
87949312,0.26,0.26,92.87
88473600,0.27,0.27,92.63
88997888,0.26,0.26,92.22
89522176,0.26,0.26,93.12
90046464,0.26,0.27,92.65
90570752,0.25,0.26,93.09
91095040,0.26,0.25,93.19
91619328,0.27,0.26,93.15
92143616,0.25,0.26,93.05
92667904,0.27,0.25,92.81
93192192,0.26,0.25,93.15
93716480,0.26,0.27,93.07
94240768,0.27,0.27,93.08
94765056,0.27,0.26,93.05
95289344,0.26,0.26,92.75
95813632,0.27,0.27,93.35
96337920,0.24,0.27,93.17
96862208,0.29,0.28,93.03
97386496,0.26,0.25,94.18
97910784,0.24,0.29,93.35
98435072,0.27,0.27,93.66
98959360,0.26,0.25,93.45
99483648,0.26,0.28,93.29
100007936,0.27,0.25,93.76
100532224,0.27,0.26,93.62
101056512,0.26,0.28,93.26
101580800,0.24,0.29,93.25
102105088,0.26,0.27,93.55
102629376,0.26,0.26,93.67
103153664,0.26,0.26,94.01
103677952,0.27,0.27,93.51
104202240,0.26,0.27,93.57
104726528,0.25,0.27,93.43
105250816,0.25,0.28,93.62
105775104,0.26,0.26,93.46
106299392,0.25,0.26,93.68
106823680,0.26,0.26,93.36
107347968,0.25,0.25,93.54
107872256,0.24,0.26,93.38
108396544,0.25,0.27,93.58
108920832,0.26,0.25,93.64
109445120,0.25,0.25,93.56
109969408,0.25,0.26,94.12
110493696,0.26,0.27,93.60
111017984,0.24,0.25,94.11
111542272,0.24,0.26,94.06
112066560,0.25,0.25,93.60
112590848,0.25,0.24,94.01
113115136,0.26,0.26,93.89
113639424,0.26,0.26,93.62
114163712,0.25,0.26,94.41
114688000,0.25,0.24,93.68
115212288,0.26,0.25,93.76
115736576,0.25,0.24,93.68
116260864,0.25,0.25,94.10
116785152,0.26,0.27,94.48
117309440,0.26,0.25,93.74
117833728,0.27,0.25,93.89
118358016,0.25,0.24,93.70
118882304,0.25,0.26,93.96
119406592,0.25,0.25,94.23
119930880,0.26,0.26,94.05
120455168,0.26,0.25,94.04
120979456,0.25,0.25,93.99
121503744,0.25,0.25,93.97
122028032,0.25,0.25,94.26
122552320,0.24,0.25,94.27
123076608,0.24,0.25,94.16
123600896,0.26,0.25,94.39
124125184,0.24,0.25,94.47
124649472,0.24,0.26,93.96
125173760,0.25,0.26,94
